doc_id,group,lang,input,clean,accuracy,cer,hallucinated,correct,fields,ollama_version
71010001,undergrad,th,/Users/patcharapongvech/Desktop/Phet_folder/Year 3/ISD/Lab/ocr_system/work/71010001/noisy/L0_clean/page_01.png,none,0.8279569892473119,0.13319980321877853,0,77,93,0.33.3
72100002,undergrad,en,work/72100002/noisy/L0_clean/page_01.png,none,0.8767123287671232,0.07333174661941784,2,64,73,0.33.3
73036003,grad,th,work/73036003/noisy/L0_clean/page_01.png,none,0.7804878048780488,0.22292286337497524,21,96,123,0.33.3
74106005,grad,en,work/74106005/noisy/L0_clean/page_01.png,none,0.8130081300813008,0.17193186217576462,9,100,123,0.33.3
